bahan_a	bahan_b	senyawa_toksik	gejala	level	sumber	deskripsi
Sorbetto al limone	f	f	The composition includes several synthetic additives like E471 (emulsifier) and E410 (stabilizer), raising concerns about the overall quality and safety of the product.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like E471 (emulsifier) and E410 (stabilizer), raising concerns about the overall quality and safety of the product.
8 Vanilla flavour choc ices	f	f	The composition includes partially hydrogenated oils and emulsifiers, which raise concerns about processed ingredients. The presence of sugar and whey powder also indicates a less favorable quality pr	warning	Zerotox/Open Food Facts	The composition includes partially hydrogenated oils and emulsifiers, which raise concerns about processed ingredients. The presence of sugar and whey powder also indicates a less favorable quality profile.
Mr freeze	f	f	The composition includes sodium benzoate and potassium sorbate as preservatives, which raise concerns about synthetic additives. Additionally, artificial colors like Allure Red and Brilliant Blue FCF 	warning	Zerotox/Open Food Facts	The composition includes sodium benzoate and potassium sorbate as preservatives, which raise concerns about synthetic additives. Additionally, artificial colors like Allure Red and Brilliant Blue FCF indicate a highly processed product.
ice lolly	f	f	The composition includes sodium benzoate as a synthetic preservative and saccharin as an artificial sweetener, raising significant quality concerns. The presence of carrageenan also indicates potentia	warning	Zerotox/Open Food Facts	The composition includes sodium benzoate as a synthetic preservative and saccharin as an artificial sweetener, raising significant quality concerns. The presence of carrageenan also indicates potential processing issues.
Orange cherry grape variety ice pops	f	f	The composition includes high fructose corn syrup and corn syrup, both of which are processed sweeteners that raise quality concerns. Additionally, artificial flavors and colorants like annatto extrac	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and corn syrup, both of which are processed sweeteners that raise quality concerns. Additionally, artificial flavors and colorants like annatto extract indicate a highly processed product.
Key lime pie frozen dessert	f	f	The composition includes several synthetic and processed ingredients such as hydrogenated palm kernel oil and high fructose corn syrup, raising significant quality concerns. The presence of multiple a	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as hydrogenated palm kernel oil and high fructose corn syrup, raising significant quality concerns. The presence of multiple additives indicates a highly processed product.
Caramel swirl flavored frozen dairy bars, caramel swirl	f	f	The composition includes several synthetic additives like potassium sorbate and sucralose, raising quality concerns. The presence of high fructose corn syrup and maltitol syrup further indicates a hig	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like potassium sorbate and sucralose, raising quality concerns. The presence of high fructose corn syrup and maltitol syrup further indicates a highly processed product.
3 meat sausage, pepperoni & cooked beef rising crust pizza, 3 meat	f	f	The composition includes several processed ingredients such as sodium nitrite and BHA, which are synthetic preservatives associated with health concerns. The presence of mechanically separated chicken	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium nitrite and BHA, which are synthetic preservatives associated with health concerns. The presence of mechanically separated chicken and textured soy protein raises quality issues, indicating a highly processed product with potential allergen risks.
Strawberry sorbet bars, strawberry	f	f	The composition includes several synthetic and processed ingredients such as liquid sugar, corn syrup, and caramel color, which raise quality concerns. Carrageenan, a thickener, is associated with dig	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as liquid sugar, corn syrup, and caramel color, which raise quality concerns. Carrageenan, a thickener, is associated with digestive issues, further impacting the product's safety profile.
Vanilla flavored with chocolate chips & cookie dough pieces frozen dairy dessert, vanilla, chocolate chips	f	f	The composition includes several synthetic additives such as sodium benzoate and carrageenan, which raise quality concerns. The presence of artificial flavors and emulsifiers further indicates a highl	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium benzoate and carrageenan, which raise quality concerns. The presence of artificial flavors and emulsifiers further indicates a highly processed product.
Funpops assorted flavors freeze pops	f	f	The composition includes high fructose corn syrup and multiple artificial colors, indicating a highly processed product with significant quality concerns. Preservatives like potassium sorbate and sodi	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and multiple artificial colors, indicating a highly processed product with significant quality concerns. Preservatives like potassium sorbate and sodium benzoate further raise safety issues.
Strawberry, lime & grape fruit pops variety pack	f	f	The composition includes several synthetic additives such as red 40 and blue 1, which are artificial colorants associated with potential sensitivity issues. Additionally, the presence of sugar syrup a	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as red 40 and blue 1, which are artificial colorants associated with potential sensitivity issues. Additionally, the presence of sugar syrup and corn syrup raises concerns about high sugar content, indicating a highly processed product with quality implications.
Blood orange sorbet	f	f	The composition includes artificial color (FD&C Red 40, Yellow 6) and sugar, which are associated with quality concerns due to their synthetic nature and potential health implications. The presence of	warning	Zerotox/Open Food Facts	The composition includes artificial color (FD&C Red 40, Yellow 6) and sugar, which are associated with quality concerns due to their synthetic nature and potential health implications. The presence of mono & diglycerides also raises questions about the overall quality of the product, contributing to a lower rating.
Orange sherbet, orange	f	f	The composition of this orange sherbet includes several concerning ingredients such as high fructose corn syrup and artificial colors like Yellow 6 and Red 40. These synthetic additives raise quality 	warning	Zerotox/Open Food Facts	The composition of this orange sherbet includes several concerning ingredients such as high fructose corn syrup and artificial colors like Yellow 6 and Red 40. These synthetic additives raise quality and safety concerns, indicating a highly processed product with potential health implications.
Orange dream bars, orange	f	f	The composition includes several synthetic and processed ingredients such as sugar, corn syrup, and artificial flavors. The presence of stabilizers like carrageenan raises concerns about potential dig	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as sugar, corn syrup, and artificial flavors. The presence of stabilizers like carrageenan raises concerns about potential digestive issues. Overall, the high level of processed components contributes to a lower safety and quality rating.
Cherry-orange mighty ice pops, cherry-orange	f	f	The composition includes sugar, which raises concerns due to its high glycemic index, and artificial colors like Yellow 6 and Red 40, which are synthetic additives associated with potential sensitivit	warning	Zerotox/Open Food Facts	The composition includes sugar, which raises concerns due to its high glycemic index, and artificial colors like Yellow 6 and Red 40, which are synthetic additives associated with potential sensitivity issues. The presence of multiple gums indicates a highly processed product, contributing to the overall low rating.
Totino's Macaroni & Cheese with Bacon Party Pizza	f	f	The ingredient analysis reveals several synthetic additives, including sodium aluminum phosphate and titanium dioxide, which raise quality and safety concerns. The presence of preservatives like potas	warning	Zerotox/Open Food Facts	The ingredient analysis reveals several synthetic additives, including sodium aluminum phosphate and titanium dioxide, which raise quality and safety concerns. The presence of preservatives like potassium sorbate and tbhq further indicates a highly processed composition.
Lemonade, limeade & strawberry lemonade flavored frozen confection cups, lemonade, limeade & strawberry lemonade	f	f	The composition includes several synthetic additives such as high fructose corn syrup and artificial colors like Red 40 and Yellow 5, raising significant quality concerns.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as high fructose corn syrup and artificial colors like Red 40 and Yellow 5, raising significant quality concerns.
Totino's Bacon & Pepperoni Party Pizza	f	f	The ingredient analysis reveals several synthetic additives such as sodium nitrite and BHA, which raise safety concerns. The presence of artificial colors like titanium dioxide further indicates a hig	warning	Zerotox/Open Food Facts	The ingredient analysis reveals several synthetic additives such as sodium nitrite and BHA, which raise safety concerns. The presence of artificial colors like titanium dioxide further indicates a highly processed composition.
Grape cherry orange flavor mighty ice pops	f	f	The composition includes sugar, which raises concerns due to its high glycemic index, and several artificial colors like Yellow 6, Blue 1, and Red 40, which are synthetic additives associated with pot	warning	Zerotox/Open Food Facts	The composition includes sugar, which raises concerns due to its high glycemic index, and several artificial colors like Yellow 6, Blue 1, and Red 40, which are synthetic additives associated with potential health risks. These factors contribute to a lower rating due to quality and safety concerns.
Deep dish singles supreme frozen pizza	f	f	The composition includes several processed ingredients like palm oil and sodium nitrite, raising quality concerns. The presence of artificial preservatives and flavorings further indicates a highly pr	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like palm oil and sodium nitrite, raising quality concerns. The presence of artificial preservatives and flavorings further indicates a highly processed product.
Frozen sorbet bars, mango	f	f	The composition includes several synthetic and processed ingredients such as liquid sugar, corn syrup, and carrageenan. These additives raise concerns about the overall quality and safety of the produ	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as liquid sugar, corn syrup, and carrageenan. These additives raise concerns about the overall quality and safety of the product, indicating a highly processed nature that detracts from its rating.
Pepperoni pizza frozen sandwiches	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of modified food starch and maltodextrin indicates a highly processed produc	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of modified food starch and maltodextrin indicates a highly processed product, contributing to the low rating.
Digiorno, cheese stuffed crust pizza, sausage, pepper & onion, sausage, pepper & onion	f	f	The composition includes several synthetic additives like BHA and BHT, which raise safety concerns. The presence of modified food starch and artificial flavors further indicates a highly processed pro	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like BHA and BHT, which raise safety concerns. The presence of modified food starch and artificial flavors further indicates a highly processed product.
Cheese stuffed crust supreme frozen pizza	f	f	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of modified food starch and artificial flavors further indicates	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of modified food starch and artificial flavors further indicates a highly processed product.
Rising crust three meat frozen pizza	f	f	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of mechanically separated chicken and sodium nitrite further ind	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of mechanically separated chicken and sodium nitrite further indicates a highly processed product with potential quality issues.
Jacks original thin crust sausage pepperoni frozen pizza	f	f	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of mechanically separated chicken and sodium nitrite further ind	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of mechanically separated chicken and sodium nitrite further indicates a highly processed product.
Nestle, butterfinger, peanut butter cups, frozen dairy dessert bars	f	f	The composition includes several synthetic and processed ingredients such as propylene glycol monostearate and modified corn starch, raising quality concerns. The presence of palm oil and multiple sug	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as propylene glycol monostearate and modified corn starch, raising quality concerns. The presence of palm oil and multiple sugars further indicates a highly processed product.
Rising crust three meat frozen pizza	f	f	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of mechanically separated meats and processed ingredients furthe	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like BHA and BHT, which are preservatives that raise safety concerns. The presence of mechanically separated meats and processed ingredients further indicates a highly processed product with quality issues.
KID CUISINE Friends Forever Macaroni & Cheese Frozen Meal With Corn & Pudding, 10.6 oz.	f	f	The composition includes several processed ingredients like artificial colors and preservatives, which raise quality concerns. Ingredients such as sodium phosphate and corn syrup indicate a highly pro	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like artificial colors and preservatives, which raise quality concerns. Ingredients such as sodium phosphate and corn syrup indicate a highly processed product with potential safety issues.
Cheese & pepperoni frozen pizza	f	f	The composition includes several processed ingredients such as modified food starch and sodium nitrite, raising quality concerns. The presence of preservatives like BHA and BHT further indicates a hig	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as modified food starch and sodium nitrite, raising quality concerns. The presence of preservatives like BHA and BHT further indicates a highly processed product.
Deep Dish Cheesy Ham & Potato	f	f	The composition includes several synthetic additives like sodium nitrite and BHT, raising significant quality concerns. The presence of modified starches and artificial colors further indicates a high	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHT, raising significant quality concerns. The presence of modified starches and artificial colors further indicates a highly processed product.
Erdbeerkuchen 1019g tiefgefroren	f	f	The composition includes several synthetic and processed ingredients such as glucose-fructose syrup and modified starch, raising quality concerns. The presence of palm fat and various emulsifiers furt	warning	Zerotox/Open Food Facts	The composition includes several synthetic and processed ingredients such as glucose-fructose syrup and modified starch, raising quality concerns. The presence of palm fat and various emulsifiers further indicates a highly processed product.
la campagna Steinofenpizza Prosciutto	f	f	The composition includes several synthetic additives such as sodium nitrite and maltodextrin, which raise quality concerns. The presence of processed meats also contributes to a lower safety assessmen	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as sodium nitrite and maltodextrin, which raise quality concerns. The presence of processed meats also contributes to a lower safety assessment.
Ice Lolly	f	f	The composition includes several synthetic additives such as E202 (preservative) and E330 (acid regulator), indicating a highly processed product with potential quality concerns.	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as E202 (preservative) and E330 (acid regulator), indicating a highly processed product with potential quality concerns.
Pizza Jambon Emmental	f	f	The composition includes sodium nitrite as a preservative and carrageenan as a gelling agent, both raising quality concerns. The presence of glucose syrup and dextrose indicates added sugars, further 	warning	Zerotox/Open Food Facts	The composition includes sodium nitrite as a preservative and carrageenan as a gelling agent, both raising quality concerns. The presence of glucose syrup and dextrose indicates added sugars, further impacting the overall safety assessment.
Sherbet	f	f	The composition includes several synthetic additives like artificial colors (Yellow 5, Red 40) and preservatives (polysorbate 80), raising significant quality concerns. The presence of high fructose c	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like artificial colors (Yellow 5, Red 40) and preservatives (polysorbate 80), raising significant quality concerns. The presence of high fructose corn syrup also indicates a highly processed product.
Patriot pops	f	f	The composition includes high fructose corn syrup and artificial colors like Red 40 and Blue 1, raising significant quality concerns due to their synthetic nature and potential health implications.	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial colors like Red 40 and Blue 1, raising significant quality concerns due to their synthetic nature and potential health implications.
Italian ices	f	f	The composition includes high fructose corn syrup and multiple artificial colors like Red 40 and Yellow 5, indicating significant processing and raising quality concerns.	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and multiple artificial colors like Red 40 and Yellow 5, indicating significant processing and raising quality concerns.
Sorbet	f	f	The composition includes several synthetic additives such as FD&C Yellow #5 and #6, which are artificial colorants associated with potential sensitivity issues. Additionally, carrageenan is present, r	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as FD&C Yellow #5 and #6, which are artificial colorants associated with potential sensitivity issues. Additionally, carrageenan is present, raising concerns about its safety due to possible gastrointestinal effects. These factors contribute to a lower rating due to quality and safety concerns.
Singles french bread pepperoni pizzas count	f	f	The composition includes several concerning ingredients such as partially hydrogenated oils and sodium nitrite, which raise significant quality and safety concerns. The presence of artificial preserva	warning	Zerotox/Open Food Facts	The composition includes several concerning ingredients such as partially hydrogenated oils and sodium nitrite, which raise significant quality and safety concerns. The presence of artificial preservatives and additives further detracts from the overall rating.
Italian Ice	f	f	The composition includes high fructose corn syrup and artificial colors like red #40 and blue #1, indicating significant processing and raising quality concerns.	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial colors like red #40 and blue #1, indicating significant processing and raising quality concerns.
Rising Crust 3 Meat Pizza	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of multiple processed ingredients indicates a highly processed product with 	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of multiple processed ingredients indicates a highly processed product with potential quality issues.
Of wylers authentic italian ice assorted flavors	f	f	The composition includes high fructose corn syrup and maltodextrin, both of which are processed ingredients. Additionally, sodium benzoate and potassium sorbate are synthetic preservatives, raising qu	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and maltodextrin, both of which are processed ingredients. Additionally, sodium benzoate and potassium sorbate are synthetic preservatives, raising quality concerns.
Pepperoni rising crust pizza, pepperoni	f	f	The composition includes several concerning ingredients such as sodium nitrite and BHA, both of which are synthetic preservatives associated with potential health risks. Additionally, the presence of 	warning	Zerotox/Open Food Facts	The composition includes several concerning ingredients such as sodium nitrite and BHA, both of which are synthetic preservatives associated with potential health risks. Additionally, the presence of mechanically separated chicken raises quality concerns regarding meat sourcing and processing methods, contributing to the overall low rating.
Assorted ice pops, grape, orange & cherry	f	f	The composition includes sugar, which raises glycemic concerns, and several artificial colors like Yellow 6, Red 40, and Blue 1, which are synthetic additives associated with potential health risks. T	warning	Zerotox/Open Food Facts	The composition includes sugar, which raises glycemic concerns, and several artificial colors like Yellow 6, Red 40, and Blue 1, which are synthetic additives associated with potential health risks. The presence of xanthan gum and guar gum as thickeners indicates a processed nature, contributing to the overall low rating due to quality concerns.
Palermo's, thick rising crust pizza, pepperoni, pepperoni	f	f	The composition includes several processed ingredients such as sodium nitrite and BHA, which raise safety concerns. The presence of enriched flour and added sugars also indicates a highly processed pr	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients such as sodium nitrite and BHA, which raise safety concerns. The presence of enriched flour and added sugars also indicates a highly processed product.
Palermo's, mission pizza co., cheese thin crust pizza	f	f	The composition includes several synthetic additives like tbhq and dimethylpolysiloxane, which raise quality concerns. The presence of palm oil and artificial flavors further indicates a highly proces	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like tbhq and dimethylpolysiloxane, which raise quality concerns. The presence of palm oil and artificial flavors further indicates a highly processed product.
Original Pizza, 4 Cheese	f	f	The composition includes several concerning ingredients such as palm oil, artificial color, and carrageenan. Palm oil raises environmental sustainability issues, while artificial color and carrageenan	warning	Zerotox/Open Food Facts	The composition includes several concerning ingredients such as palm oil, artificial color, and carrageenan. Palm oil raises environmental sustainability issues, while artificial color and carrageenan are synthetic additives that may pose health concerns, contributing to the low rating due to quality and safety implications.
Vegetable Pizza	f	f	The composition of this vegetable pizza includes several concerning ingredients such as palm oil, modified corn starch, and carrageenan. These additives raise quality and safety concerns, indicating a	warning	Zerotox/Open Food Facts	The composition of this vegetable pizza includes several concerning ingredients such as palm oil, modified corn starch, and carrageenan. These additives raise quality and safety concerns, indicating a highly processed product with potential health implications.
Deep dish singles pepperoni pizza made with pork, chicken & beef, pepperoni	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and modified food starch further indicates a highly processed pr	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and modified food starch further indicates a highly processed product.
Thin & crispy crust bacon lovers pizza mozzarella cheese & three cuts of premium bacon, bacon lovers	f	f	The composition includes several processed ingredients like sodium nitrite and modified food starch, raising quality concerns. The presence of multiple preservatives and artificial flavors indicates a	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like sodium nitrite and modified food starch, raising quality concerns. The presence of multiple preservatives and artificial flavors indicates a highly processed product.
Bon Appetit, Thin Crust Pizza, Pepperoni & Pesto	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and modified food starch further indicates a highly processed pr	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and modified food starch further indicates a highly processed product.
Deep dish singles meat-trio pizza sausage, pepperoni & ham with natural juices, meat-trio pizza	f	f	The composition includes several processed ingredients like palm oil and sodium nitrite, raising quality concerns. The presence of multiple additives indicates a highly processed product.	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like palm oil and sodium nitrite, raising quality concerns. The presence of multiple additives indicates a highly processed product.
Classic special deluxe frozen pizza	f	f	The composition includes several processed ingredients like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and modified food starch further indicates a highly processed 	warning	Zerotox/Open Food Facts	The composition includes several processed ingredients like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and modified food starch further indicates a highly processed product.
Brick Oven Pepperoni Pizza	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of modified food starch and hydrolyzed proteins indicates a highly processed	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of modified food starch and hydrolyzed proteins indicates a highly processed product.
Red baron, rising crust pepperoni pizza	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and artificial flavors further indicates a highly processed prod	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise safety concerns. The presence of palm oil and artificial flavors further indicates a highly processed product.
Fudgsicle, The Original Fudge Bars, Chocolate, Low Fat; Chocolate Flavored Frozen Dessert	f	f	The composition includes several synthetic additives like high fructose corn syrup and carrageenan, raising concerns about quality and safety. The presence of palm oil also indicates a processed natur	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like high fructose corn syrup and carrageenan, raising concerns about quality and safety. The presence of palm oil also indicates a processed nature.
Popsicle, Snow Cone, Strawberry, Blue Raspberry And Lemon, Artificially Flavored	f	f	The composition includes sodium benzoate as a synthetic preservative and multiple artificial colors like Red 40 and Yellow 6, indicating significant processing and raising quality concerns.	warning	Zerotox/Open Food Facts	The composition includes sodium benzoate as a synthetic preservative and multiple artificial colors like Red 40 and Yellow 6, indicating significant processing and raising quality concerns.
Key food, sherbet, orange	f	f	The composition includes several synthetic additives such as yellow 6 and red 40, which are artificial colors, raising quality concerns. Additionally, high fructose corn syrup and corn syrup are prese	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as yellow 6 and red 40, which are artificial colors, raising quality concerns. Additionally, high fructose corn syrup and corn syrup are present, indicating high levels of processed sugars.
Lehigh valley farms, sherbet, raspberry	f	f	The composition includes several synthetic additives like high fructose corn syrup and artificial colors (Red 40, Blue 1), raising significant quality concerns. The presence of multiple processed ingr	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like high fructose corn syrup and artificial colors (Red 40, Blue 1), raising significant quality concerns. The presence of multiple processed ingredients indicates a highly processed product.
Authentic italian ices	f	f	The ingredient composition includes high fructose corn syrup and maltodextrin, both of which are processed sugars. Additionally, sodium benzoate and potassium sorbate are synthetic preservatives, rais	warning	Zerotox/Open Food Facts	The ingredient composition includes high fructose corn syrup and maltodextrin, both of which are processed sugars. Additionally, sodium benzoate and potassium sorbate are synthetic preservatives, raising quality concerns.
Italian Sausage & Pepperoni Pizza	f	f	The composition includes several synthetic additives like sodium nitrite and BHA, which raise significant safety concerns. The presence of sugar and artificial flavors further indicates a highly proce	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like sodium nitrite and BHA, which raise significant safety concerns. The presence of sugar and artificial flavors further indicates a highly processed product.
Freezable fun pops	f	f	The composition includes high fructose corn syrup and multiple artificial colors, indicating a highly processed product with significant quality concerns. Preservatives like sodium benzoate further lo	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and multiple artificial colors, indicating a highly processed product with significant quality concerns. Preservatives like sodium benzoate further lower the safety profile.
popsicle	f	f	The composition includes high fructose corn syrup and corn syrup, both of which are processed sweeteners that raise quality concerns. Additionally, artificial flavors and colorants like annatto extrac	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and corn syrup, both of which are processed sweeteners that raise quality concerns. Additionally, artificial flavors and colorants like annatto extract indicate a highly processed product.
Cherry, Grape Sugar Free Ice Pops, Cherry, Grape	f	f	The composition includes several synthetic additives such as acesulfame potassium and sucralose, which raise quality concerns. Additionally, artificial colors like Red 40 and Yellow 6 contribute to th	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as acesulfame potassium and sucralose, which raise quality concerns. Additionally, artificial colors like Red 40 and Yellow 6 contribute to the product's processed nature.
Orange sherbet push pops, orange sherbet	f	f	The composition includes several synthetic additives such as high fructose corn syrup and carrageenan, which raise quality and safety concerns. The presence of artificial colors like Red 40 and Yellow	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as high fructose corn syrup and carrageenan, which raise quality and safety concerns. The presence of artificial colors like Red 40 and Yellow 5 further indicates a highly processed product.
Ice cream sandwiches	f	f	The composition includes several synthetic additives like carrageenan and artificial colors, which raise quality and safety concerns. The presence of palm oil and modified cornstarch further indicates	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like carrageenan and artificial colors, which raise quality and safety concerns. The presence of palm oil and modified cornstarch further indicates a highly processed product.
Red, white & blue ice pops	f	f	The composition includes synthetic additives like high fructose corn syrup and artificial colors (FD&C Red 40, Blue 1), raising significant quality concerns. The presence of multiple processed ingredi	warning	Zerotox/Open Food Facts	The composition includes synthetic additives like high fructose corn syrup and artificial colors (FD&C Red 40, Blue 1), raising significant quality concerns. The presence of multiple processed ingredients indicates a highly artificial product.
Homemade, Premium Italian Ice, Strawberry & Watermelon	f	f	The composition includes high fructose corn syrup and artificial flavor, indicating a highly processed product with significant quality concerns. Carrageenan and red #40 further raise safety issues.	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial flavor, indicating a highly processed product with significant quality concerns. Carrageenan and red #40 further raise safety issues.
Sours Ice Pops	f	f	The composition includes high fructose corn syrup and artificial colors like Yellow 6 and Blue 1, indicating significant processing and raising quality concerns.	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial colors like Yellow 6 and Blue 1, indicating significant processing and raising quality concerns.
Premium Italian Ice	f	f	The composition includes high fructose corn syrup and artificial colorant yellow #6, indicating a highly processed product with significant quality concerns. The presence of carrageenan raises additio	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial colorant yellow #6, indicating a highly processed product with significant quality concerns. The presence of carrageenan raises additional safety issues.
Strawberry Pops	f	f	The composition includes several synthetic additives like acesulfame potassium and sucralose, which raise quality concerns. The presence of artificial color (Red 40) further indicates a highly process	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives like acesulfame potassium and sucralose, which raise quality concerns. The presence of artificial color (Red 40) further indicates a highly processed product.
Raspados Helados Ice Bars	f	f	The ingredient analysis reveals several synthetic additives, including sodium benzoate and potassium sorbate as preservatives, and artificial colors like Yellow 5 and Red 40. These raise significant q	warning	Zerotox/Open Food Facts	The ingredient analysis reveals several synthetic additives, including sodium benzoate and potassium sorbate as preservatives, and artificial colors like Yellow 5 and Red 40. These raise significant quality concerns due to their synthetic nature.
Pop-Ice, Ice Pops	f	f	The composition includes high fructose corn syrup and several synthetic additives like sodium benzoate and artificial colors. These raise significant quality and safety concerns.	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and several synthetic additives like sodium benzoate and artificial colors. These raise significant quality and safety concerns.
Dairy Dessert Bars	f	f	The composition includes several synthetic additives such as artificial flavors and colorants like Red 40 and Red 3, raising significant quality concerns. Carrageenan and xanthan gum are also present,	warning	Zerotox/Open Food Facts	The composition includes several synthetic additives such as artificial flavors and colorants like Red 40 and Red 3, raising significant quality concerns. Carrageenan and xanthan gum are also present, indicating a highly processed product.
Super Premium Italian Ice Cotton Candy	f	f	The composition includes sodium benzoate and potassium sorbate as preservatives, which are synthetic additives that raise quality concerns. The presence of FD&C Red #40, an artificial colorant, furthe	warning	Zerotox/Open Food Facts	The composition includes sodium benzoate and potassium sorbate as preservatives, which are synthetic additives that raise quality concerns. The presence of FD&C Red #40, an artificial colorant, further indicates a highly processed product.
Banana ice pops, banana	f	f	The composition includes sugar syrup and corn syrup, both of which are high in refined sugars, raising concerns about their impact on health. Additionally, artificial flavor and Yellow 5 are synthetic	warning	Zerotox/Open Food Facts	The composition includes sugar syrup and corn syrup, both of which are high in refined sugars, raising concerns about their impact on health. Additionally, artificial flavor and Yellow 5 are synthetic additives that indicate a highly processed product, further lowering the quality assessment.
Icee freeze	f	f	The composition includes high fructose corn syrup and artificial flavors, indicating a highly processed product with significant quality concerns. Carrageenan and modified soy protein also raise safet	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial flavors, indicating a highly processed product with significant quality concerns. Carrageenan and modified soy protein also raise safety issues.
Ice pops	f	f	The composition includes high fructose corn syrup and artificial colors like Red 40 and Yellow 5, which raise concerns about synthetic additives and potential health effects. The presence of multiple 	warning	Zerotox/Open Food Facts	The composition includes high fructose corn syrup and artificial colors like Red 40 and Yellow 5, which raise concerns about synthetic additives and potential health effects. The presence of multiple artificial ingredients indicates a highly processed product, contributing to a lower safety rating.
